Sample_name	padding_window	runtime(mins)
WHCGBM_0000000011	300-600	76
WHCGBM_0000000011	200-400	31
WHCGBM_0000000011	150-300	19
WHCGBM_0000000011	75-150	13
WHCGBM_0000000013	300-600	60
WHCGBM_0000000013	200-400	36
WHCGBM_0000000013	150-300	21
WHCGBM_0000000013	75-150	20
WHCGBM_0000000006	300-600	94
WHCGBM_0000000006	200-400	42
WHCGBM_0000000006	150-300	20
WHCGBM_0000000006	75-150	13
WHCGBM_0000000004	75-150	9
WHCGBM_0000000004	150-300	17
WHCGBM_0000000004	200-400	28
WHCGBM_0000000004	300-600	69
WHCGBM_0000000010	75-150	13
WHCGBM_0000000010	150-300	27
WHCGBM_0000000010	200-400	46
WHCGBM_0000000010	300-600	122
